,Instance,n_N,n_B,k,wL,Lazy,A4,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
114,3,10,19,1,100,False,True,6.73477099495804e-08,23.057222843170166,441.0,1353.047960670458,,
115,3,10,19,1,100,True,True,0.0,20.7029926776886,2061.0,1356.8948909253058,,
116,3,10,19,2,50,False,True,9.462534023068936e-07,19.361209630966187,137.0,731.2865228504642,,
117,3,10,19,2,50,True,True,0.0,20.51085138320923,917.0,731.282292063954,,
118,3,10,19,2,100,False,True,1.4717683216757735e-06,20.452897310256958,136.0,1231.2865090074358,,
119,3,10,19,2,100,True,True,1.6302989744445588e-08,44.56487822532654,1410.0,1231.282294414179,,
120,3,15,25,1,50,False,True,0.0,42.102778673172,2913.0,1569.9750526200387,,
121,3,15,25,1,50,True,True,0.0,403.7950077056885,40264.0,1542.3323613352936,,
122,3,15,25,1,100,False,True,0.0,44.11459684371948,4696.0,2420.9239452174043,,
123,3,15,25,1,100,True,True,0.0,216.10561656951904,16637.0,2383.8381997107736,,
124,3,15,25,1,50,False,True,0.0,42.120906352996826,2913.0,1569.9750526200387,,
125,3,15,25,1,50,True,True,0.0,403.11338567733765,40264.0,1542.3323613352936,,
126,3,15,25,1,100,False,True,0.0,43.85399913787842,4696.0,2420.9239452174043,,
127,3,15,25,1,100,True,True,0.0,215.84772849082947,16637.0,2383.8381997107736,,
128,3,15,25,3,50,False,True,1.108266313920157e-08,163.09290838241577,1066.0,1107.3980704292217,,
129,3,15,25,3,50,True,True,5.669414646196482e-10,232.3600823879242,10989.0,1107.3980580992418,,
130,3,15,25,3,100,False,True,5.344558838205321e-05,95.63642072677612,1860.0,1860.673459280732,,
131,3,15,25,3,100,True,True,0.0,135.92728638648987,3453.0,1859.9329494493927,,
132,3,20,38,1,50,False,True,0.0,93.58338356018066,1400.0,2164.489676315757,,
133,3,20,38,1,50,True,True,0.0,505.5521421432495,5412.0,2160.383536598287,,
134,3,20,38,1,100,False,True,6.279122868953293e-08,103.64016366004944,2172.0,3214.489877406014,,
135,3,20,38,1,100,True,True,5.4933716455121905e-11,352.53387451171875,13473.0,3210.3835314958324,,
136,3,20,38,2,50,False,True,3.6124596197064714e-05,484.966269493103,2730.0,1685.744123730719,,
137,3,20,38,2,50,True,True,0.0,1492.7410354614258,35530.0,1685.6841454144233,,
138,3,20,38,2,100,False,True,2.0619034194793183e-05,299.3699474334717,2972.0,2725.432762585231,,
139,3,20,38,2,100,True,True,9.047829183282938e-05,1396.9958622455597,25896.0,2725.623415746906,,
140,3,20,38,5,50,False,True,1.4105123990839688e-05,190.20658445358276,2902.0,1361.0699308820724,,
141,3,20,38,5,50,True,True,8.376615568905073e-05,939.7568573951721,15889.0,1360.8589478512715,,
142,3,20,38,5,100,False,True,6.0904059382753955e-05,176.78774094581604,1151.0,2361.1424573923296,,
143,3,20,38,5,100,True,True,4.7881877716778847e-05,838.6819586753845,31349.0,2360.9529768960465,,
144,4,10,20,1,50,False,True,0.0,16.00995659828186,419.0,932.2018663711369,,
