,Instance,n_N,n_B,k,Single,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
41,2,10,1,2,True,50,False,False,1.145127466360259e-05,2.5184221267700195,887.0,497.0029370881325,,0.058345794677734375,0.007371187210083008,508.96166720193537,508.96166720193537
42,2,10,3,2,True,50,False,False,3.2968182940411457e-05,6.724771022796631,474.0,507.70933013411207,,,,,
43,2,10,3,2,True,50,False,False,3.690647682935514e-05,4.8900837898254395,855.0,507.71090441251783,,0.1825120449066162,0.014673948287963867,519.8305429988138,519.8305429988138
44,2,10,7,2,True,50,False,False,1.985823181122821e-05,15.034940004348755,9049.0,591.4202216388885,,,,,
45,2,10,7,2,True,50,False,False,1.7365927024376595e-05,14.502398014068604,863.0,591.4268815570629,,0.2831399440765381,0.027709007263183594,607.6220116502764,607.6220116502764
46,2,10,15,2,True,50,False,True,2.0240674749513177e-06,8.708369016647339,5201.0,836.4836501558084,,,,,
47,2,10,15,2,True,50,False,True,2.0240674749513177e-06,8.704910039901733,5201.0,836.4836501558084,,0.08312606811523438,1.0711588859558105,849.9419757719357,1016.7707881433967
48,2,10,1,1,True,0,False,False,7.76360839221697e-05,1.5352611541748047,809.0,465.3388508951457,,,,,
49,2,10,1,1,True,0,False,False,7.118446939646111e-05,0.5957200527191162,1.0,465.3366798937043,,0.013998985290527344,0.0072629451751708984,477.56664944120297,477.56664944120286
50,2,10,3,1,True,0,False,False,2.76278101236878e-05,8.581407070159912,4674.0,465.32959172473414,,,,,
51,2,10,3,1,True,0,False,False,3.8486446933543916e-05,6.827288866043091,878.0,465.3352460350785,,0.015685081481933594,0.014292001724243164,477.56664944120297,477.56664944120286
52,2,10,7,1,True,0,False,False,1.932167129239652e-05,13.718158960342407,1084.0,478.6927693297919,,,,,
53,2,10,7,1,True,0,False,False,1.4849445986114453e-05,9.43602991104126,435.0,478.68917293878155,,0.02679586410522461,0.030256986618041992,490.94013450633537,587.5302962734726
54,2,10,15,1,True,0,False,True,0.0,14.081972122192383,818.0,511.6933979028183,,,,,
55,2,10,15,1,True,0,False,True,6.53361265226353e-05,6.389791011810303,494.0,511.6935874226219,,0.044670820236206055,0.04820108413696289,523.9524823469417,689.0249550806584
56,2,10,1,1,True,50,False,False,8.229858886097164e-05,1.1879801750183105,393.0,715.3422914503448,,,,,
57,2,10,1,1,True,50,False,False,5.236512017074061e-05,0.47142696380615234,1.0,715.3196513968269,,0.013058900833129883,0.007574796676635742,727.5666494412029,727.5666494412028
58,2,10,3,1,True,50,False,False,2.1811320473090097e-05,0.9926102161407471,1.0,715.324361914769,,,,,
59,2,10,3,1,True,50,False,False,1.2033906953906057e-06,2.5095620155334473,1.0,715.3205451737863,,0.014600038528442383,0.01419210433959961,727.5666494412029,727.5666494412028
60,2,10,7,1,True,50,False,False,2.9372731284211828e-05,15.136348962783813,2087.0,803.6902034453285,,,,,
61,2,10,7,1,True,50,False,False,1.7718779905752967e-05,2.562166929244995,826.0,803.691086215611,,0.02284097671508789,0.029834985733032227,815.9401345063354,937.5302962734726
62,2,10,15,1,True,50,False,True,4.91909477271809e-05,5.875239133834839,442.0,1011.6935791887765,,,,,
63,2,10,15,1,True,50,False,True,8.502809556043993e-05,7.242355108261108,663.0,1011.6935845827785,,0.04355883598327637,0.04744696617126465,1023.9524823469417,1382.194742297559
64,2,10,1,1,True,0,False,False,7.76360839221697e-05,1.5947370529174805,809.0,465.3388508951457,,,,,
65,2,10,1,1,True,0,False,False,7.118446939646111e-05,0.6115000247955322,1.0,465.3366798937043,,0.013529062271118164,0.007417201995849609,477.56664944120297,477.56664944120286
66,2,10,3,1,True,0,False,False,2.76278101236878e-05,8.631155967712402,4674.0,465.32959172473414,,,,,
