,Instance,n_N,n_B,k,wL,Lazy,A4,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
57,4,30,53,3,50,True,True,1.9078247561483402e-06,2462.4340541362762,50395.0,2346.19416736456,,
58,4,30,5,3,50,False,False,0.0,154.0212938785553,14863.0,750.0,,
59,4,30,13,3,50,False,False,0.0,56.873592376708984,1.0,750.0,,
60,4,30,26,3,50,False,False,,,,,,
61,4,30,5,3,50,True,False,0.0,7.638397932052612,1.0,750.0,,
62,4,30,13,3,50,True,False,0.0,12.375854253768921,1.0,750.0,,
63,4,30,26,3,50,True,False,0.0,20.8593647480011,1.0,750.0,,
64,4,30,53,7,50,False,True,0.0250996685976907,3662.7494447231293,111995.0,1975.3619122356836,,
65,4,30,53,7,50,True,True,7.576607059561918e-08,1059.31938123703,14988.0,1975.2787585424176,,
66,4,30,5,7,50,False,False,0.0,234.01464891433716,18774.0,750.0,,
67,4,30,13,7,50,False,False,0.0,865.5432705879211,32303.0,750.0,,
68,4,30,26,7,50,False,False,0.0,1282.7012932300568,19709.0,750.0,,
69,4,30,5,7,50,True,False,0.0,16.700992822647095,1.0,750.0,,
70,4,30,13,7,50,True,False,0.0,14.23264193534851,1.0,750.0,,
71,4,30,26,7,50,True,False,0.0,22.04180359840393,1.0,750.0,,
72,4,50,90,1,50,False,True,8.45657511182483e-05,1562.0019798278809,16379.0,5775.842245132522,,
73,4,50,90,1,50,True,True,0.42239069767565524,3689.129643201828,51286.0,6862.620669868002,,
74,4,50,9,1,50,False,False,,,,,,
75,4,50,22,1,50,False,False,,,,,,
76,4,50,45,1,50,False,False,,,,,,
77,4,50,9,1,50,True,False,0.0,47.651357650756836,1.0,1250.0,,
78,4,50,22,1,50,True,False,0.0,78.86587357521057,1.0,1250.0,,
79,4,50,45,1,50,True,False,0.0,110.17550253868103,1.0,1250.0,,
80,4,50,90,5,50,False,True,0.15393483110070724,3797.546566724777,48237.0,3924.10603416152,,
81,4,50,90,5,50,True,True,,,,,,
82,4,50,9,5,50,False,False,0.0,1318.6276607513428,47577.0,1250.0,,
83,4,50,22,5,50,False,False,,,,,,
84,4,50,45,5,50,False,False,,,,,,
85,4,50,9,5,50,True,False,0.0,47.224119663238525,1.0,1250.0,,
86,4,50,22,5,50,True,False,0.0,131.30444478988647,1.0,1250.0,,
87,4,50,45,5,50,True,False,0.0,115.56167650222778,1.0,1250.0,,
88,4,50,90,12,50,False,True,0.007648507201516888,3798.982727766037,51249.0,3092.10161774492,,
89,4,50,90,12,50,True,True,4.520800132679095e-05,3483.9647059440613,31576.0,3091.5643950494105,,
90,4,50,9,12,50,False,False,1.6740364334264376e-07,270.5678117275238,2299.0,1250.0002092545892,,
