,index,n_N,perc_B,k,single,wL,lazy,A4,init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
102,102,20,100%,1,True,0,False,True,False,0.7453336795365499,3600.1874911785126,779732.0,926.3360947564114,,,,
103,103,20,100%,1,True,0,False,True,True,0.41050677767185995,3600.5041580200195,411479.0,3096.083148222829,0.8597869873046875,44.21491098403931,3118.951804325591,3445.5472146729203
104,104,20,10.0%,1,True,50,False,False,False,0.0007271436885245658,62.77144503593445,17610.0,1357.7898532365875,,,,
105,105,20,10.0%,1,True,50,False,False,True,4.941058745378005e-05,2046.0547840595243,241375.0,631.9277574452983,4.679692983627319,0.3702619075775146,645.1930487268203,645.1930487268203
106,106,20,20.0%,1,True,50,False,False,False,0.0010111664919002356,210.089292049408,26638.0,1549.7214508527425,,,,
107,107,20,20.0%,1,True,50,False,False,True,1.22352466178519,3600.5484969615936,206830.0,763.1838564755357,10.822766065597534,29.99873995780945,785.9496670117629,97649942.22626346
108,108,20,50.0%,1,True,50,False,False,False,0.05748282421109,3600.098122119904,578568.0,1752.339666315001,,,,
109,109,20,50.0%,1,True,50,False,False,True,0.19042763326606,3600.1905319690704,273242.0,1417.86304297714,5.505717039108276,50.77547693252564,1432.7064960421667,5655.850849611526
110,110,20,100%,1,True,50,False,True,False,0.0062361753838476,1173.233510017395,60131.0,1987.6341599068755,,,,
111,111,20,100%,1,True,50,False,True,True,0.43882455878508997,3600.7079429626465,143730.0,2284.078775408061,317.4965109825134,37.467905044555664,2308.6000646712428,2717.960368925408
112,112,20,10.0%,10%,True,0,False,False,False,0.0016627786009819068,236.22608280181885,61440.0,539.471546450271,,,,
113,113,20,10.0%,10%,True,0,False,False,True,1.13581870334403,3600.21954703331,352120.0,313.4944306069886,5.411062002182007,0.3635299205780029,328.164603064953,328.1646030649529
114,114,20,20.0%,10%,True,0,False,False,False,0.0027567313697913795,924.8296749591829,149022.0,558.5950100461105,,,,
115,115,20,20.0%,10%,True,0,False,False,True,0.03042257961371,3600.5797181129456,571437.0,459.4097213296122,76.57563090324402,1.3615410327911377,485.7161140201727,704.4930065804101
116,116,20,50.0%,10%,True,0,False,False,False,1.90909217578163,3600.256377935409,447563.0,570.0190951444431,,,,
117,117,20,50.0%,10%,True,0,False,False,True,0.009623182801642724,1609.0984439849854,273027.0,1098.7689232761054,4.172277212142944,0.369485855102539,1110.769585501053,1110.769585501053
118,118,20,100%,10%,True,0,False,True,False,0.007432197771250992,1033.4192790985107,201672.0,622.4665112021194,,,,
119,119,20,100%,10%,True,0,False,True,True,0.009947566550800127,1507.4477620124817,171422.0,1965.7688155087508,64.9094409942627,25.21578884124756,1992.2489407981936,111303085.14606708
120,120,20,10.0%,10%,True,50,False,False,False,0.008162841291315882,86.60318207740784,13630.0,1039.5416796775764,,,,
121,121,20,10.0%,10%,True,50,False,False,True,0.33564677662856,3600.4669840335846,287971.0,1349.4774042849835,4.643844127655029,16.684403896331787,1367.7902011123597,1352.3042011818493
122,122,20,20.0%,10%,True,50,False,False,False,4.283190499185554e-05,406.4155249595642,85684.0,1188.7848801875375,,,,
123,123,20,20.0%,10%,True,50,False,False,True,0.70966022681049,3604.535272121429,99697.0,1427.2097988870314,51.011865854263306,125.298082113266,1450.178799702051,1524.4847844784397
124,124,20,50.0%,10%,True,50,False,False,False,0.001004693169967952,1936.0132789611816,347533.0,1355.6789495211433,,,,
125,125,20,50.0%,10%,True,50,False,False,True,1.6109957052869085e-05,2692.215807199478,98259.0,2323.208264491209,4.982469081878662,40.03650498390198,2342.79020111236,2548.4146748306853
