,instance,n_N,perc_B,k,single,wL,lazy,A4,init
277,0,30,50.0%,25%,False,0,False,False,True
278,0,30,100%,25%,False,0,False,True,False
279,0,30,100%,25%,False,0,False,True,True
280,0,30,10.0%,25%,False,50,False,False,False
281,0,30,10.0%,25%,False,50,False,False,True
282,0,30,20.0%,25%,False,50,False,False,False
283,0,30,20.0%,25%,False,50,False,False,True
284,0,30,50.0%,25%,False,50,False,False,False
285,0,30,50.0%,25%,False,50,False,False,True
286,0,30,100%,25%,False,50,False,True,False
287,0,30,100%,25%,False,50,False,True,True
288,0,50,10.0%,1,True,0,False,False,False
289,0,50,10.0%,1,True,0,False,False,True
290,0,50,20.0%,1,True,0,False,False,False
291,0,50,20.0%,1,True,0,False,False,True
292,0,50,50.0%,1,True,0,False,False,False
293,0,50,50.0%,1,True,0,False,False,True
294,0,50,100%,1,True,0,False,True,False
295,0,50,100%,1,True,0,False,True,True
296,0,50,10.0%,1,True,50,False,False,False
297,0,50,10.0%,1,True,50,False,False,True
298,0,50,20.0%,1,True,50,False,False,False
299,0,50,20.0%,1,True,50,False,False,True
300,0,50,50.0%,1,True,50,False,False,False
301,0,50,50.0%,1,True,50,False,False,True
302,0,50,100%,1,True,50,False,True,False
303,0,50,100%,1,True,50,False,True,True
304,0,50,10.0%,10%,True,0,False,False,False
305,0,50,10.0%,10%,True,0,False,False,True
306,0,50,20.0%,10%,True,0,False,False,False
307,0,50,20.0%,10%,True,0,False,False,True
308,0,50,50.0%,10%,True,0,False,False,False
309,0,50,50.0%,10%,True,0,False,False,True
310,0,50,100%,10%,True,0,False,True,False
311,0,50,100%,10%,True,0,False,True,True
312,0,50,10.0%,10%,True,50,False,False,False
313,0,50,10.0%,10%,True,50,False,False,True
314,0,50,20.0%,10%,True,50,False,False,False
315,0,50,20.0%,10%,True,50,False,False,True
316,0,50,50.0%,10%,True,50,False,False,False
317,0,50,50.0%,10%,True,50,False,False,True
318,0,50,100%,10%,True,50,False,True,False
319,0,50,100%,10%,True,50,False,True,True
320,0,50,10.0%,25%,True,0,False,False,False
321,0,50,10.0%,25%,True,0,False,False,True
322,0,50,20.0%,25%,True,0,False,False,False
323,0,50,20.0%,25%,True,0,False,False,True
324,0,50,50.0%,25%,True,0,False,False,False
325,0,50,50.0%,25%,True,0,False,False,True
326,0,50,100%,25%,True,0,False,True,False
327,0,50,100%,25%,True,0,False,True,True
328,0,50,10.0%,25%,True,50,False,False,False
329,0,50,10.0%,25%,True,50,False,False,True
330,0,50,20.0%,25%,True,50,False,False,False
331,0,50,20.0%,25%,True,50,False,False,True
332,0,50,50.0%,25%,True,50,False,False,False
333,0,50,50.0%,25%,True,50,False,False,True
334,0,50,100%,25%,True,50,False,True,False
335,0,50,100%,25%,True,50,False,True,True
336,0,50,10.0%,1,False,0,False,False,False
337,0,50,10.0%,1,False,0,False,False,True
338,0,50,20.0%,1,False,0,False,False,False
339,0,50,20.0%,1,False,0,False,False,True
340,0,50,50.0%,1,False,0,False,False,False
341,0,50,50.0%,1,False,0,False,False,True
342,0,50,100%,1,False,0,False,True,False
343,0,50,100%,1,False,0,False,True,True
344,0,50,10.0%,1,False,50,False,False,False
345,0,50,10.0%,1,False,50,False,False,True
346,0,50,20.0%,1,False,50,False,False,False
347,0,50,20.0%,1,False,50,False,False,True
348,0,50,50.0%,1,False,50,False,False,False
349,0,50,50.0%,1,False,50,False,False,True
350,0,50,100%,1,False,50,False,True,False
351,0,50,100%,1,False,50,False,True,True
352,0,50,10.0%,10%,False,0,False,False,False
353,0,50,10.0%,10%,False,0,False,False,True
354,0,50,20.0%,10%,False,0,False,False,False
355,0,50,20.0%,10%,False,0,False,False,True
356,0,50,50.0%,10%,False,0,False,False,False
357,0,50,50.0%,10%,False,0,False,False,True
358,0,50,100%,10%,False,0,False,True,False
359,0,50,100%,10%,False,0,False,True,True
360,0,50,10.0%,10%,False,50,False,False,False
361,0,50,10.0%,10%,False,50,False,False,True
362,0,50,20.0%,10%,False,50,False,False,False
363,0,50,20.0%,10%,False,50,False,False,True
364,0,50,50.0%,10%,False,50,False,False,False
365,0,50,50.0%,10%,False,50,False,False,True
366,0,50,100%,10%,False,50,False,True,False
367,0,50,100%,10%,False,50,False,True,True
368,0,50,10.0%,25%,False,0,False,False,False
369,0,50,10.0%,25%,False,0,False,False,True
370,0,50,20.0%,25%,False,0,False,False,False
371,0,50,20.0%,25%,False,0,False,False,True
372,0,50,50.0%,25%,False,0,False,False,False
373,0,50,50.0%,25%,False,0,False,False,True
374,0,50,100%,25%,False,0,False,True,False
375,0,50,100%,25%,False,0,False,True,True
376,0,50,10.0%,25%,False,50,False,False,False
377,0,50,10.0%,25%,False,50,False,False,True
378,0,50,20.0%,25%,False,50,False,False,False
379,0,50,20.0%,25%,False,50,False,False,True
380,0,50,50.0%,25%,False,50,False,False,False
381,0,50,50.0%,25%,False,50,False,False,True
382,0,50,100%,25%,False,50,False,True,False
383,0,50,100%,25%,False,50,False,True,True
384,0,70,10.0%,1,True,0,False,False,False
385,0,70,10.0%,1,True,0,False,False,True
386,0,70,20.0%,1,True,0,False,False,False
